CustomerID,Gender,Age,Annual Income (₦),Spending Score (1–100),Marital Status,Profession,Membership Duration (Years),Mall Branch,City Type,Frequency of Visits/Month,Average Transaction Value (₦),Loyalty Card Holder (Yes/No),Preferred Payment Method
3674,Female,33,2238546,19,Divorced,Student,3.7,C,Urban,12,30777,No,Transfer
3675,Male,31,2268073,1,Single,Business Owner,5.0,B,Suburban,9,75280,No,Transfer
3676,Male,33,2882961,88,Single,Doctor,10.0,B,Urban,15,57346,No,Bank App
3677,Female,42,2784457,25,Married,Business Owner,5.4,C,Urban,5,67843,No,Bank App
3678,Female,58,-1579730,68,Single,Student,0.7,C,Urban,26,61972,No,Bank App
3679,Male,21,3521846,88,Widowed,Doctor,2.5,C,Suburban,27,99795,Yes,Cash
3680,Male,46,3197244,84,Single,Banker,3.9,A,Urban,9,70375,No,POS
3681,Male,23,4441721,97,Divorced,Student,4.8,A,Suburban,10,49273,No,POS
3682,Female,18,2679284,28,Married,Engineer,6.9,C,Suburban,15,44904,No,POS
3683,Male,56,4626650,45,Divorced,Teacher,6.1,A,Urban,8,59663,Yes,POS
3684,Female,18,2770453,99,Divorced,Banker,5.3,A,Urban,28,74271,No,Cash
3685,Female,68,3510117,24,Divorced,Teacher,8.5,B,Rural,14,33414,Yes,Bank App
3686,Female,57,1624297,44,Married,Doctor,2.4,A,Suburban,17,59045,No,Cash
3687,Male,20,4704120,2,Widowed,Doctor,1.2,C,Rural,29,53797,Yes,Transfer
3688,Female,18,4949996,23,Single,Unemployed,8.5,A,Suburban,17,56312,Yes,POS
3689,Female,18,5824973,97,Divorced,Teacher,4.9,A,Suburban,8,43915,No,Bank App
3690,Female,56,2186337,78,Married,Unemployed,5.8,B,Rural,1,61428,No,Transfer
3691,Female,38,3794528,62,Single,Teacher,8.5,A,Urban,10,76186,Yes,Cash
3692,Female,62,840302,15,Married,Student,9.5,A,Rural,6,57276,No,Bank App
3693,Male,47,169149,32,Divorced,Student,5.7,C,Rural,26,14305,No,POS
3694,Female,49,3845153,87,Married,Engineer,8.2,A,Suburban,28,31209,Yes,POS
3695,Female,50,2830739,4,Divorced,Unemployed,5.7,B,Urban,14,84463,Yes,Bank App
3696,Male,65,1072364,84,Married,Banker,0.8,B,Suburban,5,26117,No,POS
3697,Female,39,3268695,31,Divorced,Banker,9.6,B,Urban,21,24855,No,Cash
3698,Male,47,4400461,59,Single,Engineer,8.3,C,Suburban,15,38258,No,Cash
3699,Female,63,3094648,71,Married,Student,7.7,A,Urban,29,34662,Yes,Transfer
3700,Male,21,4842716,1,Married,Engineer,4.7,A,Urban,27,50251,Yes,POS
3701,Male,40,2008865,69,Single,Banker,9.5,A,Urban,14,59250,No,Transfer
3702,Female,61,4624115,14,Divorced,Banker,5.2,B,Urban,5,58258,No,Transfer
3703,Female,42,2424343,94,Widowed,Lawyer,7.3,B,Rural,9,40420,Yes,POS
3704,Female,29,4845248,23,Divorced,Unemployed,1.5,B,Urban,25,39376,No,Transfer
3705,Male,34,1093213,71,Divorced,Business Owner,2.6,C,Urban,25,43541,No,Bank App
3706,Male,32,3346103,16,Single,Unemployed,4.5,B,Urban,3,74902,Yes,Bank App
3707,Male,27,3342929,9,Widowed,Student,6.0,B,Rural,16,41061,No,Bank App
3708,Female,52,3715673,98,Married,Engineer,8.2,C,Urban,22,57338,No,Cash
3709,Male,69,2472870,31,Widowed,Engineer,2.8,C,Rural,25,47529,No,Bank App
3710,Male,69,3647514,61,Married,Doctor,7.9,C,Suburban,18,39137,Yes,POS
3711,Female,46,2702568,45,Married,Banker,9.0,A,Urban,24,66366,Yes,Cash
3712,Male,29,2210125,7,Single,Doctor,8.3,B,Rural,27,37999,Yes,POS
3713,Male,18,5121139,57,Divorced,Doctor,6.4,A,Urban,7,54745,Yes,Bank App
3714,Female,18,3117048,64,Divorced,Teacher,8.2,B,Suburban,26,62873,No,Transfer
3715,Male,27,729252,2,Widowed,Business Owner,8.8,C,Rural,27,58700,No,POS
3716,Female,35,1990454,6,Divorced,Teacher,5.8,A,Suburban,1,56524,Yes,POS
3717,Female,64,5177230,61,Married,Teacher,8.2,B,Rural,28,51137,No,POS
3718,Female,19,1637089,34,Single,Student,4.5,C,Suburban,21,52341,No,POS
3719,Female,66,3811267,17,Divorced,Doctor,5.5,B,Rural,5,49540,Yes,Bank App
3720,Female,25,1958186,26,Divorced,Doctor,1.0,C,Suburban,16,39830,Yes,POS
3721,Male,39,842693,76,Married,Student,8.9,C,Urban,6,38053,Yes,POS
3722,Male,39,3720682,20,Widowed,Teacher,1.8,B,Urban,21,49739,Yes,Bank App
3723,Female,43,2507121,41,Divorced,Business Owner,3.1,A,Rural,22,53325,No,Cash
3724,Female,43,5382792,58,Married,Engineer,3.5,C,Urban,29,55177,No,Transfer
3725,Male,26,4688315,99,Widowed,Lawyer,1.6,B,Suburban,2,61752,No,Bank App
3726,Female,38,4897886,99,Divorced,Banker,9.3,C,Urban,16,27231,No,POS
3727,Female,48,4599130,54,Married,Doctor,9.7,C,Rural,15,57135,Yes,Transfer
3728,Female,69,4034268,29,Married,Teacher,8.7,A,Rural,29,56302,No,Cash
3729,Male,60,951293,48,Divorced,Engineer,3.8,A,Suburban,16,56576,No,Cash
3730,Male,23,2649068,95,Married,Doctor,1.0,C,Suburban,5,58500,Yes,Bank App
3731,Female,31,4006311,77,Divorced,Banker,2.2,B,Rural,4,35145,No,POS
3732,Female,50,2564391,90,Divorced,Doctor,7.8,B,Rural,26,54275,Yes,Bank App
3733,Male,24,2955002,22,Widowed,Lawyer,3.2,A,Rural,21,54661,Yes,Cash
3734,Male,41,4086917,72,Single,Banker,9.0,C,Rural,27,16157,Yes,Cash
3735,Female,26,4584085,71,Divorced,Teacher,8.4,B,Urban,24,78268,No,Cash
3736,Female,28,1616111,5,Divorced,Business Owner,2.8,B,Suburban,6,32270,No,Bank App
3737,Male,40,4005061,52,Widowed,Student,7.1,B,Rural,2,54604,No,Transfer
3738,Male,65,3847441,1,Single,Engineer,4.7,B,Suburban,6,7777,Yes,Cash
3739,Male,68,1516697,45,Single,Unemployed,2.5,B,Rural,11,71657,Yes,POS
3740,Female,19,2390275,40,Married,Banker,6.1,C,Rural,18,38037,No,Cash
3741,Male,32,3224527,64,Single,Unemployed,8.5,C,Rural,21,41698,No,Transfer
3742,Female,52,5084922,11,Single,Engineer,9.3,C,Rural,15,30247,Yes,POS
3743,Male,53,2377871,52,Married,Teacher,1.1,B,Urban,30,40109,Yes,POS
3744,Male,69,3626482,96,Single,Engineer,4.5,C,Suburban,9,52509,No,Transfer
3745,Male,45,4753149,7,Widowed,Unemployed,6.2,A,Urban,26,81108,Yes,Cash
3746,Male,56,5782021,51,Divorced,Unemployed,3.7,C,Rural,24,67550,Yes,Transfer
3747,Female,61,3340241,93,Widowed,Student,3.5,B,Urban,6,66919,Yes,Cash
3748,Female,21,-179498,94,Single,Unemployed,7.8,C,Rural,30,26084,Yes,Bank App
3749,Male,27,4385122,21,Married,Banker,7.9,A,Urban,5,54544,No,Bank App
3750,Female,23,3316605,39,Widowed,Unemployed,7.4,A,Suburban,15,41461,No,Cash
3751,Male,47,1732626,44,Widowed,Engineer,9.0,B,Rural,18,27888,No,Cash
3752,Male,63,4066595,57,Divorced,Banker,5.2,C,Suburban,10,37167,No,Cash
3753,Male,52,5797997,41,Married,Teacher,8.0,A,Rural,3,50400,No,POS
3754,Male,66,3313483,39,Widowed,Student,0.6,B,Rural,27,42519,Yes,Bank App
3755,Female,60,567282,20,Single,Lawyer,9.9,A,Urban,24,56207,Yes,POS
3756,Male,27,5166138,22,Divorced,Business Owner,9.2,B,Rural,30,25028,No,POS
3757,Male,49,3033966,29,Widowed,Teacher,8.5,A,Urban,30,97694,No,Bank App
3758,Female,59,4068822,46,Single,Business Owner,6.1,B,Urban,4,54431,No,Cash
3759,Male,59,3093018,68,Widowed,Lawyer,5.7,C,Rural,11,40365,Yes,Cash
3760,Male,20,3684252,3,Widowed,Engineer,1.9,C,Urban,30,43551,Yes,Cash
3761,Male,43,3998524,73,Married,Business Owner,1.0,B,Urban,18,21181,No,Bank App
3762,Female,32,4210424,5,Widowed,Student,2.9,A,Urban,1,19248,Yes,Transfer
3763,Male,34,3219992,56,Married,Banker,1.9,A,Rural,8,46198,No,Bank App
3764,Female,44,1859135,67,Single,Business Owner,5.8,C,Suburban,11,54268,No,POS
3765,Male,35,3290520,89,Married,Engineer,3.7,C,Suburban,3,24222,No,POS
3766,Male,68,4182805,32,Single,Teacher,4.2,B,Urban,15,32024,No,Cash
3767,Female,36,1869590,97,Married,Lawyer,0.8,A,Urban,16,52477,Yes,POS
3768,Male,29,1340027,82,Married,Banker,5.7,B,Rural,9,28800,Yes,Transfer
3769,Male,41,4999541,100,Married,Lawyer,6.7,C,Rural,12,67988,No,Cash
3770,Female,22,5537372,41,Married,Engineer,3.7,B,Suburban,8,56031,Yes,POS
3771,Female,41,3057557,29,Divorced,Teacher,1.7,B,Urban,12,41146,No,Bank App
3772,Female,44,3901829,66,Widowed,Unemployed,7.2,B,Suburban,14,52922,Yes,Transfer
3773,Female,65,3563671,11,Divorced,Unemployed,1.7,A,Rural,24,33091,No,POS
3774,Female,47,-269907,59,Single,Engineer,8.3,B,Urban,6,33244,No,Cash
3775,Male,32,3310090,95,Single,Business Owner,5.7,B,Rural,13,79223,No,POS
3776,Female,64,5198959,4,Widowed,Doctor,2.8,C,Urban,19,83343,Yes,Transfer
3777,Male,55,1238437,93,Single,Teacher,9.0,A,Urban,7,41360,Yes,Bank App
3778,Male,61,1101243,54,Single,Banker,1.8,C,Suburban,16,50229,Yes,POS
3779,Male,51,1904476,67,Married,Teacher,6.2,C,Suburban,28,41513,Yes,Cash
3780,Female,44,2288796,2,Widowed,Student,6.4,A,Urban,29,72596,No,POS
3781,Female,37,4000713,100,Married,Doctor,0.9,C,Suburban,4,88911,Yes,Bank App
3782,Male,58,4980960,78,Widowed,Unemployed,6.3,C,Urban,17,38167,Yes,POS
3783,Female,49,4945771,48,Married,Lawyer,7.1,C,Suburban,2,25186,Yes,Cash
3784,Female,21,3980920,68,Widowed,Engineer,9.1,C,Urban,1,68139,No,Cash
3785,Female,22,613370,44,Single,Lawyer,7.2,A,Suburban,17,64119,No,Transfer
3786,Female,25,607229,62,Divorced,Teacher,5.1,A,Suburban,1,75644,Yes,Transfer
3787,Male,39,4101270,94,Single,Business Owner,8.6,B,Suburban,25,54310,Yes,Bank App
3788,Male,59,619519,83,Widowed,Engineer,3.9,C,Suburban,26,8753,Yes,POS
3789,Female,24,3833032,19,Divorced,Unemployed,8.6,B,Rural,2,26241,Yes,POS
3790,Male,39,3416245,44,Divorced,Lawyer,8.5,B,Suburban,14,86464,Yes,POS
3791,Female,63,2304808,31,Married,Engineer,6.2,C,Rural,29,48859,No,POS
3792,Female,47,-819573,62,Widowed,Lawyer,3.8,A,Suburban,8,32581,Yes,POS
3793,Male,54,3302672,15,Married,Engineer,6.1,B,Rural,6,11967,Yes,POS
3794,Male,33,3767785,29,Widowed,Banker,9.1,C,Rural,30,59601,Yes,POS
3795,Male,32,2165839,67,Single,Lawyer,6.5,B,Rural,28,51299,Yes,Cash
3796,Female,22,1362096,83,Widowed,Banker,8.5,B,Suburban,27,25361,No,POS
3797,Male,20,3440002,86,Single,Lawyer,3.8,B,Rural,18,31289,Yes,Bank App
3798,Female,40,821600,47,Divorced,Engineer,3.3,A,Suburban,8,34061,No,Cash
3799,Male,27,3925290,84,Divorced,Student,2.9,B,Urban,4,59017,No,Cash
3800,Male,22,4583764,7,Married,Engineer,5.2,C,Rural,16,83913,No,Cash
3801,Female,40,59791,68,Divorced,Business Owner,4.6,A,Urban,29,43011,Yes,Transfer
3802,Female,32,2207794,1,Divorced,Lawyer,8.6,C,Rural,23,82690,No,Cash
3803,Female,35,2926847,71,Single,Doctor,1.6,C,Urban,8,49708,No,Transfer
3804,Female,42,2970900,22,Widowed,Teacher,5.8,C,Rural,22,33598,Yes,Bank App
3805,Female,25,1681510,57,Single,Student,4.3,B,Urban,12,77678,No,Transfer
3806,Female,48,995606,94,Divorced,Business Owner,9.4,A,Suburban,15,59531,Yes,Transfer
3807,Female,38,2309790,73,Widowed,Engineer,8.0,B,Suburban,11,76882,Yes,Cash
3808,Female,19,3966177,58,Divorced,Teacher,4.6,C,Suburban,24,57536,No,Cash
3809,Male,39,3855717,27,Divorced,Business Owner,6.6,B,Rural,9,98512,Yes,Bank App
3810,Female,25,3874052,38,Single,Student,7.6,B,Rural,3,55499,Yes,Cash
3811,Female,40,4876484,87,Widowed,Doctor,1.2,A,Rural,3,60289,No,Transfer
3812,Male,49,1428989,76,Single,Unemployed,6.9,C,Suburban,2,35607,Yes,POS
3813,Female,25,2433035,13,Married,Teacher,1.8,C,Urban,2,69117,No,Bank App
3814,Male,21,2722744,97,Married,Business Owner,2.3,C,Rural,8,47308,Yes,POS
3815,Male,47,-1323721,15,Married,Banker,4.9,B,Suburban,27,64045,Yes,POS
3816,Female,36,3336362,80,Married,Banker,9.8,B,Rural,9,78906,Yes,Transfer
3817,Male,40,2955500,98,Single,Engineer,9.5,A,Rural,17,51256,Yes,Transfer
3818,Female,35,1295467,73,Married,Doctor,9.1,A,Suburban,10,63900,No,Cash
3819,Male,46,4306939,91,Single,Engineer,0.8,C,Urban,6,78234,Yes,Transfer
3820,Male,40,4212155,48,Widowed,Banker,8.6,B,Urban,25,30241,Yes,POS
3821,Male,50,3599743,15,Widowed,Business Owner,7.9,B,Rural,11,52869,Yes,Bank App
3822,Female,69,436755,99,Single,Teacher,5.2,C,Suburban,27,17482,Yes,Cash
3823,Female,64,1540486,98,Widowed,Engineer,3.6,A,Suburban,5,47151,Yes,Transfer
3824,Male,35,3456053,40,Married,Business Owner,7.7,A,Urban,29,68798,Yes,Bank App
3825,Male,61,2194566,30,Single,Banker,1.5,A,Rural,11,13280,Yes,Bank App
3826,Female,50,2653758,23,Divorced,Doctor,6.7,B,Urban,3,32948,Yes,Transfer
3827,Female,24,1348271,9,Widowed,Unemployed,6.9,B,Suburban,18,24787,No,POS
3828,Male,68,3287860,32,Married,Doctor,5.8,C,Suburban,28,66936,No,Bank App
3829,Male,45,5257185,35,Married,Teacher,8.8,A,Suburban,13,59993,No,POS
3830,Female,18,3485607,49,Divorced,Teacher,3.6,A,Urban,1,73306,No,Transfer
3831,Female,56,4456868,96,Married,Lawyer,5.0,A,Rural,14,69065,Yes,Cash
3832,Female,51,4316419,45,Single,Doctor,7.7,A,Urban,27,39263,Yes,POS
3833,Female,56,2462714,16,Widowed,Business Owner,7.3,C,Rural,4,47052,Yes,Cash
3834,Female,36,2721658,32,Single,Lawyer,5.8,C,Urban,12,42457,No,Transfer
3835,Male,48,5206054,25,Single,Banker,3.1,C,Urban,13,78900,No,Bank App
3836,Female,30,4098808,94,Widowed,Engineer,3.3,B,Suburban,2,60764,Yes,Bank App
3837,Male,41,4441305,37,Married,Teacher,7.5,A,Urban,3,69463,No,POS
3838,Female,22,3249905,37,Divorced,Business Owner,0.6,B,Suburban,11,64671,No,Bank App
3839,Male,40,2412065,35,Divorced,Student,6.7,C,Rural,24,40117,No,POS
3840,Female,36,2594626,45,Married,Business Owner,2.9,C,Rural,28,31802,No,POS
3841,Female,18,5065920,8,Single,Engineer,6.9,B,Suburban,2,59948,No,Cash
3842,Male,50,2998784,47,Widowed,Lawyer,2.3,B,Urban,28,79490,No,Bank App
3843,Male,67,4871473,36,Widowed,Banker,4.1,B,Urban,16,56620,Yes,Bank App
3844,Female,50,5107703,89,Single,Doctor,7.7,B,Rural,14,26269,Yes,Cash
3845,Female,49,4380913,82,Married,Banker,7.7,C,Suburban,8,61300,Yes,Cash
3846,Female,45,4205470,10,Married,Teacher,2.5,B,Rural,17,39595,No,Transfer
3847,Female,54,5545356,1,Single,Teacher,4.1,B,Rural,17,14965,No,POS
3848,Female,58,1731581,68,Married,Business Owner,5.3,B,Suburban,19,82264,Yes,Bank App
3849,Male,29,2381573,90,Divorced,Unemployed,6.1,B,Urban,8,33535,Yes,POS
3850,Male,26,1110962,75,Divorced,Engineer,7.6,B,Suburban,5,75811,No,POS
3851,Female,67,753832,15,Widowed,Business Owner,0.7,C,Suburban,28,77577,Yes,Bank App
3852,Male,28,2933526,96,Married,Banker,1.6,B,Urban,3,58157,Yes,POS
3853,Male,50,3402857,79,Single,Engineer,2.0,C,Urban,1,32961,Yes,Cash
3854,Male,36,3758040,92,Divorced,Teacher,2.3,C,Rural,24,73579,No,Transfer
3855,Female,59,1954077,87,Widowed,Lawyer,0.8,A,Rural,20,33852,No,Bank App
3856,Male,51,2380422,3,Married,Doctor,9.2,A,Urban,3,49086,No,Cash
3857,Female,24,4270108,32,Single,Teacher,2.0,C,Urban,21,45162,Yes,Transfer
3858,Male,48,809239,20,Married,Teacher,1.2,C,Rural,3,42319,No,Transfer
3859,Female,69,3019014,56,Widowed,Engineer,5.0,C,Urban,25,54864,Yes,Transfer
3860,Male,19,4958912,78,Married,Banker,9.4,B,Suburban,26,16361,No,Bank App
3861,Female,36,2601594,99,Married,Doctor,9.7,C,Urban,23,36342,Yes,Bank App
3862,Female,55,2368257,42,Widowed,Teacher,6.9,A,Urban,14,31938,No,Cash
3863,Male,49,4864251,73,Married,Engineer,2.2,C,Suburban,6,60960,No,POS
3864,Female,27,879399,60,Married,Student,0.5,C,Urban,27,64123,No,Bank App
3865,Female,58,1793957,56,Single,Unemployed,3.7,A,Urban,18,46006,No,Transfer
3866,Female,25,1851591,47,Divorced,Teacher,1.7,B,Rural,30,62346,No,Cash
3867,Female,43,4041322,24,Single,Student,7.7,C,Urban,26,48661,No,Transfer
3868,Female,47,593914,41,Widowed,Doctor,9.7,A,Rural,24,44187,Yes,Bank App
3869,Female,28,4850425,4,Divorced,Doctor,1.3,B,Suburban,30,56493,No,Transfer
3870,Female,58,2960082,76,Married,Teacher,4.3,B,Rural,14,54267,No,Transfer
3871,Female,37,4568693,51,Married,Unemployed,9.1,A,Suburban,7,28789,Yes,Cash
3872,Male,37,4861237,88,Widowed,Business Owner,7.4,A,Suburban,19,68731,No,Transfer
3873,Male,26,1821600,1,Single,Lawyer,8.8,C,Urban,17,21343,Yes,POS
3874,Female,25,3027506,14,Single,Banker,9.3,A,Rural,10,23815,No,Bank App
3875,Female,32,2657891,95,Divorced,Engineer,4.4,A,Rural,10,29485,Yes,Transfer
3876,Male,51,2901832,10,Married,Engineer,7.1,B,Suburban,11,49568,Yes,Transfer
3877,Male,41,2145600,97,Single,Lawyer,7.2,A,Suburban,16,81329,Yes,Cash
3878,Male,50,4671248,36,Married,Unemployed,6.5,B,Suburban,17,75752,Yes,Transfer
3879,Female,58,2720908,42,Married,Student,3.6,C,Urban,6,31704,No,Bank App
3880,Male,58,2498804,99,Married,Business Owner,8.4,A,Suburban,4,47869,No,Transfer
3881,Female,62,4685320,48,Divorced,Banker,7.8,A,Suburban,6,25225,Yes,Cash
3882,Female,57,4254258,18,Widowed,Business Owner,4.7,C,Rural,28,36115,Yes,Cash
3883,Male,44,3431318,89,Married,Doctor,4.5,A,Urban,5,88584,No,Cash
3884,Female,38,2411418,76,Widowed,Teacher,0.6,A,Rural,11,45927,Yes,POS
3885,Female,22,5196916,60,Widowed,Engineer,8.5,A,Rural,26,73597,Yes,POS
3886,Female,52,1414726,28,Divorced,Engineer,3.2,A,Urban,25,66245,No,Cash
3887,Female,38,4608574,53,Single,Teacher,5.0,A,Urban,2,36386,No,Bank App
3888,Male,21,3939679,9,Widowed,Teacher,4.4,A,Suburban,12,32843,Yes,POS
3889,Male,66,1100395,24,Widowed,Engineer,6.9,B,Rural,25,49157,Yes,Cash
3890,Female,65,3110857,20,Widowed,Engineer,4.2,A,Urban,1,47249,Yes,Cash
3891,Female,33,1018883,90,Single,Engineer,2.2,A,Suburban,23,67813,No,Cash
3892,Male,48,2478147,69,Married,Teacher,8.8,C,Rural,16,44471,No,POS
3893,Female,43,3420238,27,Married,Business Owner,2.2,A,Rural,22,67664,Yes,Transfer
3894,Male,69,1478544,92,Divorced,Student,0.8,C,Rural,19,36639,No,Bank App
3895,Female,52,-521669,40,Married,Engineer,2.4,C,Suburban,15,50547,No,POS
3896,Female,23,2808369,71,Married,Unemployed,4.8,C,Suburban,3,30136,Yes,Cash
3897,Male,50,3321834,83,Married,Banker,4.5,C,Rural,5,15956,Yes,Transfer
3898,Male,38,2434536,54,Divorced,Unemployed,8.1,B,Rural,14,31723,Yes,Cash
3899,Male,33,2976915,86,Divorced,Student,2.4,B,Urban,11,60090,Yes,Transfer
3900,Male,64,2730577,82,Married,Engineer,7.9,A,Urban,2,77305,No,Bank App
3901,Female,56,1473498,15,Married,Teacher,1.4,C,Suburban,30,47157,No,Bank App
3902,Male,51,5920677,97,Widowed,Lawyer,5.0,B,Rural,1,59203,Yes,POS
3903,Female,59,3475481,51,Single,Student,8.7,B,Urban,23,43438,No,Transfer
3904,Male,32,2361255,69,Divorced,Unemployed,4.4,B,Rural,26,40579,No,POS
3905,Male,23,1762824,40,Single,Unemployed,9.7,A,Urban,29,72200,No,Bank App
3906,Female,19,2403653,69,Married,Banker,6.5,A,Rural,25,75994,Yes,Bank App
3907,Male,41,2452559,43,Married,Lawyer,7.7,B,Rural,29,78241,No,POS
3908,Male,66,3057229,64,Married,Engineer,5.3,A,Urban,9,66798,No,POS
3909,Male,45,4719309,7,Married,Unemployed,4.6,C,Suburban,19,43673,Yes,Bank App
3910,Male,18,1793145,2,Divorced,Engineer,1.3,A,Rural,19,38223,No,POS
3911,Female,18,3266586,30,Married,Business Owner,1.6,C,Rural,22,16758,Yes,Transfer
3912,Female,45,4199456,75,Single,Teacher,5.9,A,Urban,16,88680,No,POS
3913,Male,53,1989228,52,Widowed,Lawyer,6.3,C,Suburban,28,20229,No,Cash
3914,Male,37,1980606,33,Widowed,Lawyer,9.9,A,Urban,22,50768,Yes,Cash
3915,Male,65,736342,9,Single,Engineer,8.6,A,Suburban,28,17980,No,Bank App
3916,Female,25,5521816,11,Single,Banker,8.5,C,Suburban,20,71419,No,Transfer
3917,Female,18,3761888,76,Widowed,Unemployed,3.2,C,Rural,4,57673,No,Transfer
3918,Female,43,2144429,10,Divorced,Doctor,4.4,C,Urban,11,76375,Yes,Transfer
3919,Female,68,2079471,54,Single,Unemployed,1.5,B,Urban,13,54239,Yes,Transfer
3920,Male,60,1452926,75,Divorced,Unemployed,6.0,A,Suburban,2,63987,Yes,Transfer
3921,Male,66,3235650,97,Widowed,Business Owner,1.2,A,Suburban,20,57048,No,Bank App
3922,Male,42,2486774,20,Divorced,Unemployed,4.7,B,Urban,5,75397,Yes,Bank App
3923,Female,27,1623922,5,Widowed,Doctor,5.9,A,Rural,28,57049,Yes,Cash
3924,Male,29,1842393,24,Married,Lawyer,2.7,C,Suburban,20,69813,No,Bank App
3925,Female,58,4088576,32,Divorced,Unemployed,7.9,C,Rural,27,90393,No,Transfer
3926,Female,24,2427847,31,Divorced,Lawyer,6.9,B,Suburban,16,33921,No,Bank App
3927,Male,29,1157918,44,Divorced,Unemployed,1.9,A,Suburban,7,35332,No,Bank App
3928,Male,64,3097018,78,Married,Student,9.8,A,Rural,6,74896,Yes,Transfer
3929,Male,57,1970636,19,Married,Engineer,5.6,B,Suburban,21,54965,No,POS
3930,Female,34,3969108,24,Married,Doctor,0.8,C,Rural,4,55455,Yes,POS
3931,Female,22,5260412,96,Single,Teacher,3.8,C,Rural,3,63194,Yes,Cash
3932,Male,31,93828,12,Widowed,Banker,9.8,A,Rural,9,54785,Yes,Transfer
3933,Male,51,1939588,50,Single,Student,9.1,C,Urban,28,18255,No,Bank App
3934,Female,65,3207774,85,Divorced,Doctor,1.9,A,Urban,9,55172,No,POS
3935,Male,34,2885320,100,Widowed,Engineer,8.6,C,Suburban,10,28127,No,POS
3936,Female,52,4877776,25,Single,Engineer,6.4,C,Rural,11,60844,No,Transfer
3937,Female,18,2971047,51,Married,Business Owner,0.7,A,Rural,1,59365,Yes,POS
3938,Male,67,3306524,14,Single,Engineer,7.7,A,Rural,13,56468,No,Bank App
3939,Male,67,3646244,72,Married,Doctor,4.4,C,Urban,29,47573,Yes,Bank App
3940,Male,53,1978735,29,Single,Engineer,4.3,A,Rural,30,91941,Yes,Transfer
3941,Male,32,3772795,25,Married,Unemployed,4.1,C,Urban,19,94934,No,Bank App
3942,Female,36,3608362,87,Single,Business Owner,6.2,A,Urban,7,14218,Yes,Transfer
3943,Female,68,3154791,59,Divorced,Teacher,7.3,B,Rural,26,40524,No,Bank App
3944,Female,59,123354,100,Widowed,Unemployed,6.7,A,Urban,4,84423,No,Bank App
3945,Male,22,1858496,57,Single,Business Owner,2.8,C,Urban,25,70247,No,POS
3946,Female,36,3278586,12,Single,Engineer,7.2,C,Suburban,13,44666,Yes,Transfer
3947,Male,60,2857317,50,Widowed,Student,1.8,C,Urban,1,74288,Yes,Bank App
3948,Male,56,4123475,12,Divorced,Business Owner,9.7,B,Suburban,21,34478,No,Transfer
3949,Male,22,4135462,82,Divorced,Teacher,5.0,C,Rural,21,35874,No,Transfer
3950,Male,69,3516886,100,Married,Unemployed,1.4,A,Suburban,8,50282,No,Cash
3951,Male,29,4135692,48,Divorced,Student,6.0,A,Suburban,9,59949,Yes,Bank App
3952,Male,36,3750141,50,Widowed,Business Owner,6.0,C,Urban,22,58952,Yes,Cash
3953,Female,64,2210550,19,Single,Business Owner,0.9,A,Urban,19,55463,Yes,Bank App
3954,Male,29,2991260,53,Widowed,Student,0.6,C,Suburban,19,53188,No,Bank App
3955,Female,53,1351714,35,Married,Unemployed,10.0,B,Suburban,23,46573,Yes,Bank App
3956,Female,29,5240091,27,Single,Banker,4.2,C,Suburban,7,42140,Yes,Cash
3957,Male,35,1118298,67,Married,Lawyer,2.8,B,Urban,25,50062,Yes,Transfer
3958,Male,66,-126168,77,Married,Lawyer,5.7,C,Rural,28,56651,Yes,Cash
3959,Male,68,6180997,51,Divorced,Engineer,0.6,B,Urban,2,34034,Yes,Bank App
3960,Female,65,2860718,19,Single,Teacher,0.6,B,Suburban,14,22709,Yes,Bank App
3961,Male,60,4342131,43,Married,Unemployed,1.6,B,Urban,11,51794,Yes,Transfer
3962,Female,51,4099408,35,Married,Doctor,8.1,A,Rural,23,53572,Yes,Bank App
3963,Male,65,4568097,15,Married,Banker,2.9,A,Rural,29,43059,Yes,POS
3964,Male,50,3886700,16,Widowed,Lawyer,5.3,A,Suburban,29,39310,Yes,POS
3965,Female,66,3896075,99,Married,Teacher,2.6,B,Suburban,4,53405,No,Cash
3966,Female,35,-510009,69,Divorced,Lawyer,5.7,A,Urban,25,49040,Yes,Cash
3967,Male,46,1554570,71,Divorced,Business Owner,5.3,A,Urban,20,48680,No,Transfer
3968,Female,62,-941770,85,Single,Teacher,4.3,A,Urban,25,89319,Yes,POS
3969,Female,22,1770118,41,Married,Banker,4.6,A,Urban,16,13407,No,POS
3970,Female,42,2200426,54,Single,Engineer,6.7,C,Urban,13,24403,Yes,Transfer
3971,Female,41,2825131,65,Single,Student,8.5,B,Urban,6,46651,Yes,POS
3972,Female,46,1578400,89,Divorced,Lawyer,3.5,C,Urban,7,64178,No,POS
3973,Male,55,2471358,30,Married,Banker,5.6,B,Suburban,20,36047,Yes,Bank App
3974,Male,50,2223162,19,Divorced,Banker,8.6,C,Rural,6,26265,No,POS
3975,Female,27,3518121,88,Widowed,Unemployed,2.1,A,Suburban,7,46484,No,Transfer
3976,Male,54,4138688,46,Married,Student,9.8,A,Suburban,3,46398,No,Transfer
3977,Male,50,3321311,60,Married,Business Owner,7.6,C,Suburban,1,15666,No,Bank App
3978,Female,40,3945466,79,Single,Student,4.0,C,Rural,17,58437,No,POS
